Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	# misassemblies	# local misassemblies	# unaligned contigs	Unaligned contigs length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment	NA50	NGA50	NA75	NGA75
B.cereus_MiSeq_soap-mira.gam	93	49	5357679	5346530	75	649227	5354569	5432652	35.30	35.50	380728	246346	107147	107147	4	22	1 + 0 part	2316	98.366	1.007	0.26	10.11	2.99	5853 + 42 part	648581	380728	246346	82843	81739
B.cereus_MiSeq_soap-abyss.gam	93	48	5351454	5340100	75	700542	5348344	5432652	35.29	35.50	380728	269169	116604	116604	1	25	1 + 0 part	2316	98.249	1.007	13.18	9.05	4.74	5846 + 44 part	700539	380728	268965	116604	108364
B.cereus_msrca-spades.gam	259	180	5640375	5602907	250	397830	5639383	5432652	35.22	35.50	97165	103595	31702	40080	10	2	183 + 49 part	5554719	0.866	1.737	0.00	3035.85	278.63	114 + 20 part	9186	None	None	None	None
B.cereus_abyss-spades.gam	894	325	5879341	5771919	472	257581	5837565	5432652	35.23	35.50	38893	48302	18719	21996	8	2	379 + 45 part	5772864	0.828	1.206	0.00	3366.71	236.54	103 + 14 part	9186	None	None	None	None
B.cereus_MiSeq_msrca-spades.gam	84	52	5436758	5421428	84	768188	5436758	5432652	35.41	35.50	246697	246697	170659	170659	12	11	0 + 0 part	0	99.014	1.011	0.52	8.76	3.59	5962 + 37 part	768188	246697	246697	170659	170659
B.cereus_sga-sga.gam	30012	463	8771094	5397822	967	108975	5588248	5432652	35.16	35.50	22445	23414	10130	11069	1	1	924 + 30 part	5556425	0.545	1.069	0.00	3872.28	129.08	25 + 8 part	5197	None	None	None	None
B.cereus_MiSeq_sga-sga.gam	3344	320	6180355	5340740	3335	106317	6178704	5432652	37.09	35.50	22044	25512	10021	15678	22	9	4 + 29 part	3413	98.400	1.041	0.00	1.70	2.06	5730 + 245 part	106317	22042	25512	10020	15663
B.cereus_soap-abyss.gam	3161	248	5991251	5573897	412	268115	5637793	5432652	35.20	35.50	54744	57933	21019	23414	3	1	363 + 33 part	5594472	0.700	1.122	0.00	3688.69	198.49	61 + 4 part	9186	None	None	None	None
B.cereus_abyss-sga.gam	894	325	5879341	5771919	472	257581	5837565	5432652	35.23	35.50	38893	48302	18719	21996	8	2	379 + 45 part	5772864	0.828	1.206	0.00	3366.71	236.54	103 + 14 part	9186	None	None	None	None
B.cereus_abyss-abyss.gam	894	325	5879341	5771919	472	257581	5837565	5432652	35.23	35.50	38893	48302	18719	21996	8	2	379 + 45 part	5772864	0.828	1.206	0.00	3366.71	236.54	103 + 14 part	9186	None	None	None	None
B.cereus_soap-sga.gam	3161	248	5991251	5573897	412	268115	5637793	5432652	35.20	35.50	54744	57933	21019	23414	3	1	363 + 33 part	5594472	0.700	1.122	0.00	3688.69	198.49	61 + 4 part	9186	None	None	None	None
B.cereus_abyss-cabog.gam	894	325	5879341	5771919	472	257581	5837565	5432652	35.23	35.50	38893	48302	18719	21996	8	2	379 + 45 part	5772864	0.828	1.206	0.00	3366.71	236.54	103 + 14 part	9186	None	None	None	None
B.cereus_msrca-msrca.gam	259	180	5640375	5602907	250	397830	5639383	5432652	35.22	35.50	97165	103595	31702	40080	10	2	183 + 49 part	5554719	0.866	1.737	0.00	3035.85	278.63	114 + 20 part	9186	None	None	None	None
B.cereus_MiSeq_abyss-mira.gam	578	53	5439192	5388629	76	815729	5396395	5432652	35.34	35.50	208357	208357	125666	125666	5	29	1 + 0 part	210	98.697	1.012	94.92	6.49	7.85	5865 + 57 part	815259	208357	208357	101469	101469
B.cereus_soap-velvet.gam	3161	248	5991251	5573897	412	268115	5637793	5432652	35.20	35.50	54744	57933	21019	23414	3	1	363 + 33 part	5594472	0.700	1.122	0.00	3688.69	198.49	61 + 4 part	9186	None	None	None	None
B.cereus_MiSeq_velvet-soap.gam	145	71	5359581	5341257	106	607120	5353821	5432652	35.30	35.50	210079	210079	96986	96986	2	22	1 + 2 part	2460	98.159	1.003	0.00	12.66	3.17	5838 + 54 part	607120	210079	210079	96986	96986
B.cereus_MiSeq_cabog-abyss.gam	54	53	5417671	5417246	54	599161	5417671	5432652	35.41	35.50	225245	225245	126422	126422	7	10	0 + 0 part	0	99.291	1.008	9.04	5.45	3.13	5948 + 50 part	599160	211605	211605	103133	103133
